Word;type;Score;factor
jaw;self;3.47828828530887;1
handshake;self;-1.50418213993311;-1
leg;self;2.96002875062924;1
stole;self;-1.56070386370981;-1
ate;self;2.78364741168099;1
sled;self;-1.70545646243866;-1
embassy;scene;2.5462205531654;1
delirium;scene;-1.47872568841887;-1
store;scene;2.66535812098082;1
squeal;scene;-1.54425620541339;-1
school;scene;2.87083954181998;1
soft;scene;-1.70753656815885;-1
farm;scene;2.97662473674086;1
clang;scene;-1.82608804490307;-1
bridge;scene;2.5144651937639;1
rocket;human;-0.878375335143107;-1
businessman;human;2.84446214498175;1
truck;human;-0.90516131091525;-1
student;human;2.86561598684582;1
volcano;human;-0.973224085466659;-1
diplomat;human;2.87783606732456;1
thunder;human;-1.03672272128756;-1
politician;human;2.93467547338268;1
actor;human;2.96374747010422;1
mouth;self;4.02815402519097;1
shiny;self;-1.34576652036505;-1
nose;self;3.65911768704888;1
football;self;-1.37233175021465;-1
drank;self;3.289466317172;1
ricochet;self;-1.62440782930065;-1
home;self;2.84837837826498;1
foot;self;2.74771039934107;1
hospital;scene;3.104092355555;1
cold;scene;-1.99145842101247;-1
airport;scene;2.9162798521935;1
cough;scene;-1.72584639372051;-1
college;scene;2.72071421793998;1
hot;scene;-1.57047726319128;-1
church;scene;2.62219969890792;1
gasp;scene;-1.48876708092065;-1
forest;scene;2.54592611831332;1
belch;scene;-1.475372754251;-1
tourist;human;2.88268161669647;1
minister;human;2.87868495029855;1
gunshot;human;-1.07744159693963;-1
scientist;human;2.87155201323837;1
screech;human;-0.99718868295341;-1
wonder;human;-0.940326732236392;-1
journalist;human;2.83373211197027;1
ambulance;human;-0.887278229357071;-1
woman;human;2.90955338927587;1
fee;self;-1.32798449669653;-1
lip;self;3.51729137295379;1
soccer;self;-1.35765044917953;-1
eye;self;3.51703605136761;1
applause;self;-1.55271485347812;-1